date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
08-03-2020	48	Alberta	Alberta	1	0	0	1	1	
09-03-2020	48	Alberta	Alberta	7	0	0	7	6	
11-03-2020	48	Alberta	Alberta	14	0	0	14	7	
12-03-2020	48	Alberta	Alberta	19	0	0	19	5	
13-03-2020	48	Alberta	Alberta	23	0	0	23	4	
14-03-2020	48	Alberta	Alberta	29	0	0	29	6	
15-03-2020	48	Alberta	Alberta	39	0	0	39	10	
16-03-2020	48	Alberta	Alberta	56	0	0	56	17	
17-03-2020	48	Alberta	Alberta	74	0	0	74	18	
18-03-2020	48	Alberta	Alberta	97	0	0	97	23	
19-03-2020	48	Alberta	Alberta	146	0	0	146	49	
20-03-2020	48	Alberta	Alberta	195	0	1	195	49	
21-03-2020	48	Alberta	Alberta	226	0	1	226	31	
22-03-2020	48	Alberta	Alberta	259	0	1	259	33	
23-03-2020	48	Alberta	Alberta	301	0	1	301	42	
24-03-2020	48	Alberta	Alberta	358	0	2	358	57	
25-03-2020	48	Alberta	Alberta	419	0	2	419	61	
26-03-2020	48	Alberta	Alberta	486	0	2	486	67	
27-03-2020	48	Alberta	Alberta	542	0	2	542	56	
28-03-2020	48	Alberta	Alberta	542	0	2	542	0	
29-03-2020	48	Alberta	Alberta	621	0	2	621	79	
