date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
31-01-2020	59	British Columbia	Colombie-Britannique	1	0	0	1	1	
08-02-2020	59	British Columbia	Colombie-Britannique	4	0	0	4	3	
16-02-2020	59	British Columbia	Colombie-Britannique	5	0	0	5	1	
21-02-2020	59	British Columbia	Colombie-Britannique	6	0	0	6	1	
24-02-2020	59	British Columbia	Colombie-Britannique	6	0	0	6	0	
25-02-2020	59	British Columbia	Colombie-Britannique	7	0	0	7	1	
26-02-2020	59	British Columbia	Colombie-Britannique	7	0	0	7	0	
27-02-2020	59	British Columbia	Colombie-Britannique	7	0	0	7	0	
29-02-2020	59	British Columbia	Colombie-Britannique	7	0	0	7	0	
01-03-2020	59	British Columbia	Colombie-Britannique	8	0	0	8	1	
03-03-2020	59	British Columbia	Colombie-Britannique	12	0	0	12	4	
05-03-2020	59	British Columbia	Colombie-Britannique	21	0	0	21	9	
06-03-2020	59	British Columbia	Colombie-Britannique	21	0	0	21	0	
07-03-2020	59	British Columbia	Colombie-Britannique	27	0	0	27	6	
08-03-2020	59	British Columbia	Colombie-Britannique	27	0	0	27	0	
09-03-2020	59	British Columbia	Colombie-Britannique	32	0	0	32	5	
11-03-2020	59	British Columbia	Colombie-Britannique	39	0	0	39	7	
12-03-2020	59	British Columbia	Colombie-Britannique	46	0	0	46	7	
13-03-2020	59	British Columbia	Colombie-Britannique	53	0	0	53	7	
14-03-2020	59	British Columbia	Colombie-Britannique	64	0	0	64	11	
15-03-2020	59	British Columbia	Colombie-Britannique	73	0	0	73	9	
16-03-2020	59	British Columbia	Colombie-Britannique	73	0	0	73	0	
17-03-2020	59	British Columbia	Colombie-Britannique	103	0	0	103	30	
18-03-2020	59	British Columbia	Colombie-Britannique	186	0	0	186	83	
19-03-2020	59	British Columbia	Colombie-Britannique	271	0	0	271	85	
20-03-2020	59	British Columbia	Colombie-Britannique	271	0	8	271	0	
21-03-2020	59	British Columbia	Colombie-Britannique	424	0	10	424	153	
22-03-2020	59	British Columbia	Colombie-Britannique	424	0	10	424	0	
23-03-2020	59	British Columbia	Colombie-Britannique	472	0	13	472	48	
24-03-2020	59	British Columbia	Colombie-Britannique	617	0	13	617	145	
25-03-2020	59	British Columbia	Colombie-Britannique	659	0	14	659	42	
26-03-2020	59	British Columbia	Colombie-Britannique	725	0	14	725	66	
27-03-2020	59	British Columbia	Colombie-Britannique	725	0	14	725	0	
28-03-2020	59	British Columbia	Colombie-Britannique	884	0	16	884	159	
29-03-2020	59	British Columbia	Colombie-Britannique	884	0	17	884	0	
