date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
12-03-2020	13	New Brunswick	Nouveau-Brunswick	0	1	0	1	1	
13-03-2020	13	New Brunswick	Nouveau-Brunswick	1	0	0	1	0	
14-03-2020	13	New Brunswick	Nouveau-Brunswick	1	1	0	2	1	
15-03-2020	13	New Brunswick	Nouveau-Brunswick	1	1	0	2	0	
16-03-2020	13	New Brunswick	Nouveau-Brunswick	1	5	0	6	4	
17-03-2020	13	New Brunswick	Nouveau-Brunswick	2	5	0	7	1	
18-03-2020	13	New Brunswick	Nouveau-Brunswick	2	6	0	8	1	
19-03-2020	13	New Brunswick	Nouveau-Brunswick	7	4	0	11	3	
20-03-2020	13	New Brunswick	Nouveau-Brunswick	7	4	0	11	0	
21-03-2020	13	New Brunswick	Nouveau-Brunswick	9	8	0	17	6	
22-03-2020	13	New Brunswick	Nouveau-Brunswick	9	8	0	17	0	
23-03-2020	13	New Brunswick	Nouveau-Brunswick	9	8	0	17	0	
24-03-2020	13	New Brunswick	Nouveau-Brunswick	18	0	0	18	1	
25-03-2020	13	New Brunswick	Nouveau-Brunswick	26	0	0	26	8	
26-03-2020	13	New Brunswick	Nouveau-Brunswick	33	0	0	33	7	
27-03-2020	13	New Brunswick	Nouveau-Brunswick	45	0	0	45	12	
28-03-2020	13	New Brunswick	Nouveau-Brunswick	51	0	0	51	6	
29-03-2020	13	New Brunswick	Nouveau-Brunswick	51	0	0	51	0	
