date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
19-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
20-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
21-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
22-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
23-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
24-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
25-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
26-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
27-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
28-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
29-03-2020	62	Nunavut	Nunavut	0	0	0	0	0	
