date	pruid	prname	prnameFR	numconf	numprob	numdeaths	numtotal	numtoday	numtested
12-03-2020	47	Saskatchewan	Saskatchewan	0	1	0	1	1	
13-03-2020	47	Saskatchewan	Saskatchewan	0	1	0	1	0	
14-03-2020	47	Saskatchewan	Saskatchewan	0	2	0	2	1	
15-03-2020	47	Saskatchewan	Saskatchewan	0	2	0	2	0	
16-03-2020	47	Saskatchewan	Saskatchewan	1	5	0	6	4	
17-03-2020	47	Saskatchewan	Saskatchewan	2	5	0	7	1	
18-03-2020	47	Saskatchewan	Saskatchewan	2	6	0	8	1	
19-03-2020	47	Saskatchewan	Saskatchewan	8	12	0	20	12	
20-03-2020	47	Saskatchewan	Saskatchewan	8	18	0	26	6	
21-03-2020	47	Saskatchewan	Saskatchewan	25	19	0	44	18	
22-03-2020	47	Saskatchewan	Saskatchewan	33	19	0	52	8	
23-03-2020	47	Saskatchewan	Saskatchewan	65	1	0	66	14	
24-03-2020	47	Saskatchewan	Saskatchewan	72	0	0	72	6	
25-03-2020	47	Saskatchewan	Saskatchewan	86	0	0	86	14	
26-03-2020	47	Saskatchewan	Saskatchewan	95	0	0	95	9	
27-03-2020	47	Saskatchewan	Saskatchewan	104	0	0	104	9	
28-03-2020	47	Saskatchewan	Saskatchewan	134	0	0	134	30	
29-03-2020	47	Saskatchewan	Saskatchewan	134	0	0	134	0	
